contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,T,mid
SPXW260303C02800000,2026-03-03 15:11:06+00:00,2800.0,3936.0,3911.1,3927.4,-100.80005,-2.4970286,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,3919.25
SPXW260303C04400000,2026-03-02 16:17:47+00:00,4400.0,2465.38,2309.7,2325.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,2317.8
SPXW260303C05400000,2026-03-02 15:31:59+00:00,5400.0,1448.59,1311.6,1327.4,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,1319.5
SPXW260303C05500000,2026-03-03 04:38:47+00:00,5500.0,1329.14,1209.7,1224.4,-30.27002,-2.2267027,1.0,22,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,1217.0500000000002
SPXW260303C05800000,2026-03-02 19:49:39+00:00,5800.0,1097.92,912.3,927.7,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,920.0
SPXW260303C05850000,2026-03-02 19:49:39+00:00,5850.0,1047.37,865.4,867.2,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,866.3
SPXW260303C06100000,2026-02-27 16:40:02+00:00,6100.0,772.92,616.3,618.1,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,617.2
SPXW260303C06200000,2026-02-27 16:40:02+00:00,6200.0,672.32,517.1,519.0,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,518.05
SPXW260303C06350000,2026-03-03 15:14:46+00:00,6350.0,391.2,366.2,368.1,-152.76996,-28.084263,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,367.15
SPXW260303C06375000,2026-03-03 15:17:28+00:00,6375.0,355.77,341.5,343.4,-162.97,-31.41651,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,342.45
SPXW260303C06400000,2026-03-03 15:17:45+00:00,6400.0,330.3,316.6,318.6,-143.84003,-30.337036,20.0,11,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,317.6
SPXW260303C06420000,2026-02-26 19:09:50+00:00,6420.0,482.61,296.6,298.5,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,297.55
SPXW260303C06440000,2026-02-24 19:45:06+00:00,6440.0,454.0,277.9,279.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-03,-0.0019262506245405226,278.85
